Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0237455951	0.0305600529	0.0305600529	0.0305600529	0.0305600529	0	0	0	0	0	0	3
2	2	0	0.0474911902	0.0583777626	0.0444689077	0.0305600529	0.0583777626	0.0139088548	0	0	0	0	0	3
3	2	0	0.0712367853	0.0870545692	0.0586641282	0.0305600529	0.0870545692	0.0281040753	0	0	0	0	0	3
4	3	0	0.0949823804	0.115353805	0.0728365474	0.0305600529	0.115353805	0.0422764945	0	0	0	0	0	3
5	3	0	0.118727975	0.147288415	0.0877269209	0.0305600529	0.147288415	0.057166868	0	0	0	0	0	3
6	3	0	0.142473571	0.219755638	0.109731707	0.0305600529	0.219755638	0.0791716542	0	0	0	0	0	3
7	3	0	0.166219166	0.381874097	0.148609191	0.0305600529	0.381874097	0.118049139	0	0	0	0	0	3
8	4	0	0.189964761	0.572268518	0.201566607	0.0305600529	0.572268518	0.171006554	0	0	0	0	0	3
9	4	0	0.213710356	0.734886015	0.260824319	0.0305600529	0.734886015	0.230264266	0	0	0	0	0	3
10	4	0	0.237455951	0.853279079	0.320069795	0.0305600529	0.853279079	0.289509742	0	0	0	0	0	3
11	4	0	0.261201546	1.04187049	0.385688041	0.0305600529	1.04187049	0.355127988	0	0	0	0	0	3
12	5	0	0.284947141	1.20919033	0.454313231	0.0305600529	1.20919033	0.423753178	0	0	0	0	0	3
13	5	0	0.308692736	1.43014488	0.529377204	0.0305600529	1.43014488	0.498817151	0	0	0	0	0	3
14	5	0	0.332438331	1.65029409	0.609442696	0.0305600529	1.65029409	0.578882643	0	0	0	0	0	3
15	5	0	0.356183926	1.93890431	0.69807347	0.0305600529	1.93890431	0.667513417	0	0	0	0	0	3
16	6	0	0.379929521	2.45769604	0.80804988	0.0305600529	2.45769604	0.777489828	0	0	0	0	0	3
17	6	0	0.403675117	3.00311153	0.937171154	0.0305600529	3.00311153	0.906611101	0	0	0	0	0	3
18	6	0	0.427420712	3.51848829	1.08057766	0.0305600529	3.51848829	1.05001761	0	0	0	0	0	3
19	6	0	0.451166307	4.03681129	1.23616891	0.0305600529	4.03681129	1.20560885	0	0	0	0	0	3
20	7	0	0.474911902	4.48490076	1.3986055	0.0305600529	4.48490076	1.36804545	0	0	0	0	0	3
21	7	0	0.498657497	5.00175604	1.5701841	0.0305600529	5.00175604	1.53962404	0	0	0	0	0	3
22	7	0	0.522403092	5.31691049	1.74048984	0.0305600529	5.31691049	1.70992979	0	0	0	0	0	3
23	7	0	0.546148687	5.40546241	1.98480358	0.0583777626	5.40546241	1.94033468	0	0	0	0	0	3
24	8	0	0.569894282	5.34420773	2.22506858	0.0870545692	5.40546241	2.16640445	0	0	0	0	0	3
25	8	0	0.593639877	5.18825652	2.4569414	0.115353805	5.40546241	2.38410485	0	0	0	0	0	3
26	8	0	0.617385472	4.9066455	2.67472739	0.147288415	5.40546241	2.58700046	0	0	0	0	0	3
27	8	0	0.641131067	4.6427416	2.87906617	0.219755638	5.40546241	2.76933446	0	0	0	0	0	3
28	9	0	0.664876663	4.4163146	3.06981885	0.381874097	5.40546241	2.92120966	0	0	0	0	0	3
29	9	0	0.688622258	4.25806634	3.2460094	0.572268518	5.40546241	3.0444428	0	0	0	0	0	3
30	9	0	0.712367853	4.11292804	3.40694847	0.734886015	5.40546241	3.14612415	0	0	0	0	0	3
31	9	0	0.736113448	3.97341943	3.55415454	0.853279079	5.40546241	3.23408474	0	0	0	0	0	3
32	10	0	0.759859043	3.85416337	3.69055837	1.04187049	5.40546241	3.30487033	0	0	0	0	0	3
33	10	0	0.783604638	3.80253048	3.81604291	1.20919033	5.40546241	3.36172968	0	0	0	0	0	3
34	10	0	0.807350233	3.78840995	3.93328017	1.43014488	5.40546241	3.40390296	0	0	0	0	0	3
35	10	0	0.831095828	3.79837958	4.0409272	1.65029409	5.40546241	3.4314845	0	0	0	0	0	3
36	10	0	0.854841423	3.82413624	4.13973821	1.93890431	5.40546241	3.44166474	0	0	0	0	0	3
37	11	0	0.878587018	3.81481828	4.22500702	2.45769604	5.40546241	2.94776637	0	0	0	0	0	3
38	11	0	0.902332614	3.80947182	4.28645138	3.00311153	5.40546241	2.40235088	0	0	0	0	0	3
39	11	0	0.926078209	3.75435054	4.32059861	3.51848829	5.40546241	1.88697412	0	0	0	0	0	3
40	11	0	0.949823804	3.69458814	4.32860314	3.69458814	5.40546241	1.71087428	0	0	0	0	0	3
41	12	0	0.973569399	3.6315646	4.31018284	3.6315646	5.40546241	1.77389781	0	0	0	0	0	3
42	12	0	0.997314994	3.66449854	4.27289183	3.6315646	5.40546241	1.77389781	0	0	0	0	0	3
43	12	0	1.02106059	3.66630969	4.21218972	3.6315646	5.40546241	1.77389781	0.280046083	0	15.7	0	0	3
