Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0237455951	-2.69489834e-48	-2.69489834e-48	-2.69489834e-48	-2.69489834e-48	0	0	0	0	0	0	3
2	2	0	0.0474911902	5.27324391e-06	2.63662196e-06	-2.69489834e-48	5.27324391e-06	2.63662196e-06	0	0	0	0	0	3
3	2	0	0.0712367853	1.03161231e-05	5.19645567e-06	-2.69489834e-48	1.03161231e-05	5.19645567e-06	0	0	0	0	0	3
4	3	0	0.0949823804	1.51774431e-05	7.69170251e-06	-2.69489834e-48	1.51774431e-05	7.69170251e-06	0	0	0	0	0	3
5	3	0	0.118727975	2.00724942e-05	1.01678608e-05	-2.69489834e-48	2.00724942e-05	1.01678608e-05	0	0	0	0	0	3
6	3	0	0.142473571	2.54478423e-05	1.27145244e-05	-2.69489834e-48	2.54478423e-05	1.27145244e-05	0	0	0	0	0	3
7	3	0	0.166219166	3.79048885e-05	1.63131479e-05	-2.69489834e-48	3.79048885e-05	1.63131479e-05	0	0	0	0	0	3
8	4	0	0.189964761	6.53576008e-05	2.24437045e-05	-2.69489834e-48	6.53576008e-05	2.24437045e-05	0	0	0	0	0	3
9	4	0	0.213710356	9.828954e-05	3.08710195e-05	-2.69489834e-48	9.828954e-05	3.08710195e-05	0	0	0	0	0	3
10	4	0	0.237455951	0.000124180973	4.02020149e-05	-2.69489834e-48	0.000124180973	4.02020149e-05	0	0	0	0	0	3
11	4	0	0.261201546	0.000145677132	4.97906619e-05	-2.69489834e-48	0.000145677132	4.97906619e-05	0	0	0	0	0	3
12	5	0	0.284947141	0.000172324155	6.00017863e-05	-2.69489834e-48	0.000172324155	6.00017863e-05	0	0	0	0	0	3
13	5	0	0.308692736	0.000193916919	7.03029504e-05	-2.69489834e-48	0.000193916919	7.03029504e-05	0	0	0	0	0	3
14	5	0	0.332438331	0.000211381489	8.03799889e-05	-2.69489834e-48	0.000211381489	8.03799889e-05	0	0	0	0	0	3
15	5	0	0.356183926	0.000225615028	9.00623248e-05	-2.69489834e-48	0.000225615028	9.00623248e-05	0	0	0	0	0	3
16	6	0	0.379929521	0.000237618349	9.92845763e-05	-2.69489834e-48	0.000237618349	9.92845763e-05	0	0	0	0	0	3
17	6	0	0.403675117	0.000252003554	0.000108268046	-2.69489834e-48	0.000252003554	0.000108268046	0	0	0	0	0	3
18	6	0	0.427420712	0.000263258734	0.000116878639	-2.69489834e-48	0.000263258734	0.000116878639	0	0	0	0	0	3
19	6	0	0.451166307	0.000272263075	0.000125056768	-2.69489834e-48	0.000272263075	0.000125056768	0	0	0	0	0	3
20	7	0	0.474911902	0.000279544403	0.000132781149	-2.69489834e-48	0.000279544403	0.000132781149	0	0	0	0	0	3
21	7	0	0.498657497	0.000286040177	0.000140079198	-2.69489834e-48	0.000286040177	0.000140079198	0	0	0	0	0	3
22	7	0	0.522403092	0.000293077533	0.000147033668	-2.69489834e-48	0.000293077533	0.000147033668	0	0	0	0	0	3
23	7	0	0.546148687	0.000298355843	0.000160595297	5.27324391e-06	0.000298355843	0.000157958675	0	0	0	0	0	3
24	8	0	0.569894282	0.000302404439	0.000174101261	1.03161231e-05	0.000302404439	0.000168904805	0	0	0	0	0	3
25	8	0	0.593639877	0.000305607884	0.000187523614	1.51774431e-05	0.000305607884	0.000179831911	0	0	0	0	0	3
26	8	0	0.617385472	0.000308903714	0.000200874808	2.00724942e-05	0.000308903714	0.000190706947	0	0	0	0	0	3
27	8	0	0.641131067	0.000312039829	0.00021414605	2.54478423e-05	0.000312039829	0.000201431526	0	0	0	0	0	3
28	9	0	0.664876663	0.000314256015	0.000227273694	3.79048885e-05	0.000314256015	0.000210960546	0	0	0	0	0	3
29	9	0	0.688622258	0.000315856068	0.000239907839	6.53576008e-05	0.000315856068	0.000217464134	0	0	0	0	0	3
30	9	0	0.712367853	0.000317093966	0.000251350401	9.828954e-05	0.000317093966	0.000218804426	0	0	0	0	0	3
31	9	0	0.736113448	0.00031847217	0.000261358702	0.000124180973	0.00031847217	0.000194291197	0	0	0	0	0	3
32	10	0	0.759859043	0.000319622988	0.00027024243	0.000145677132	0.000319622988	0.000173945856	0	0	0	0	0	3
33	10	0	0.783604638	0.000320493935	0.000278188649	0.000172324155	0.000320493935	0.000148169781	0	0	0	0	0	3
34	10	0	0.807350233	0.00032118192	0.000284954911	0.000193916919	0.00032118192	0.000127265001	0	0	0	0	0	3
35	10	0	0.831095828	0.000321803369	0.000290767931	0.000211381489	0.000321803369	0.00011042188	0	0	0	0	0	3
36	10	0	0.854841423	0.000322470585	0.000295817435	0.000225615028	0.000322470585	9.68555575e-05	0	0	0	0	0	3
37	11	0	0.878587018	0.000323020008	0.000300244935	0.000237618349	0.000323020008	8.5401659e-05	0	0	0	0	0	3
38	11	0	0.902332614	0.000323417027	0.000304144874	0.000252003554	0.000323417027	7.1413473e-05	0	0	0	0	0	3
39	11	0	0.926078209	0.000323857503	0.000307410963	0.000263258734	0.000323857503	6.05987683e-05	0	0	0	0	0	3
40	11	0	0.949823804	0.000324261845	0.000310183832	0.000272263075	0.000324261845	5.19987704e-05	0	0	0	0	0	3
41	12	0	0.973569399	0.000324682901	0.000312566551	0.000279544403	0.000324682901	4.51384977e-05	0	0	0	0	0	3
42	12	0	0.997314994	0.00032519843	0.000314641734	0.000286040177	0.00032519843	3.91582528e-05	0	0	0	0	0	3
43	12	0	1.02106059	0.000325434162	0.00031643237	0.000293077533	0.000325434162	3.23566287e-05	1.65928554e-05	0	51.2	0	0	3
