Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0237455951	-1.00750941e-44	-1.00750941e-44	-1.00750941e-44	-1.00750941e-44	0	0	0	0	0	0	3
2	2	0	0.0474911902	-5.2606014e-06	-2.6303007e-06	-5.2606014e-06	-1.00750941e-44	2.6303007e-06	0	0	0	0	0	3
3	2	0	0.0712367853	-1.02261016e-05	-5.16223434e-06	-1.02261016e-05	-1.00750941e-44	5.16223434e-06	0	0	0	0	0	3
4	3	0	0.0949823804	-1.50901088e-05	-7.64420295e-06	-1.50901088e-05	-1.00750941e-44	7.64420295e-06	0	0	0	0	0	3
5	3	0	0.118727975	-2.0024178e-05	-1.0120198e-05	-2.0024178e-05	-1.00750941e-44	1.0120198e-05	0	0	0	0	0	3
6	3	0	0.142473571	-2.5440297e-05	-1.26735478e-05	-2.5440297e-05	-1.00750941e-44	1.26735478e-05	0	0	0	0	0	3
7	3	0	0.166219166	-3.79043911e-05	-1.6277954e-05	-3.79043911e-05	-1.00750941e-44	1.6277954e-05	0	0	0	0	0	3
8	4	0	0.189964761	-6.53574327e-05	-2.24128888e-05	-6.53574327e-05	-1.00750941e-44	2.24128888e-05	0	0	0	0	0	3
9	4	0	0.213710356	-9.82912241e-05	-3.0843815e-05	-9.82912241e-05	-1.00750941e-44	3.0843815e-05	0	0	0	0	0	3
10	4	0	0.237455951	-0.000124167657	-4.01761992e-05	-0.000124167657	-1.00750941e-44	4.01761992e-05	0	0	0	0	0	3
11	4	0	0.261201546	-0.000145616311	-4.97616639e-05	-0.000145616311	-1.00750941e-44	4.97616639e-05	0	0	0	0	0	3
12	5	0	0.284947141	-0.000172388278	-5.99805484e-05	-0.000172388278	-1.00750941e-44	5.99805484e-05	0	0	0	0	0	3
13	5	0	0.308692736	-0.000194442335	-7.03237628e-05	-0.000194442335	-1.00750941e-44	7.03237628e-05	0	0	0	0	0	3
14	5	0	0.332438331	-0.000213323913	-8.05380592e-05	-0.000213323913	-1.00750941e-44	8.05380592e-05	0	0	0	0	0	3
