Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0237455951	17.2049518	17.2049518	17.2049518	17.2049518	0	0	0	0	0	0	3
2	2	0	0.0474911902	22.7643363	19.984644	17.2049518	22.7643363	2.77969226	0	0	0	0	0	3
3	2	0	0.0712367853	28.7590908	22.9094596	17.2049518	28.7590908	5.70450785	0	0	0	0	0	3
4	3	0	0.0949823804	32.5676086	25.3239969	17.2049518	32.5676086	8.11904509	0	0	0	0	0	3
5	3	0	0.118727975	37.0410635	27.6674102	17.2049518	37.0410635	10.4624584	0	0	0	0	0	3
6	3	0	0.142473571	52.0210311	31.726347	17.2049518	52.0210311	14.5213952	0	0	0	0	0	3
7	3	0	0.166219166	91.4669152	40.2607139	17.2049518	91.4669152	23.0557621	0	0	0	0	0	3
8	4	0	0.189964761	139.570906	52.674488	17.2049518	139.570906	35.4695362	0	0	0	0	0	3
9	4	0	0.213710356	172.547503	65.9937119	17.2049518	172.547503	48.7887601	0	0	0	0	0	3
10	4	0	0.237455951	198.62605	79.2569457	17.2049518	198.62605	62.0519939	0	0	0	0	0	3
11	4	0	0.261201546	233.081965	93.2410384	17.2049518	233.081965	76.0360866	0	0	0	0	0	3
12	5	0	0.284947141	260.808722	107.205012	17.2049518	260.808722	90.0000602	0	0	0	0	0	3
13	5	0	0.308692736	283.641245	120.77703	17.2049518	283.641245	103.572078	0	0	0	0	0	3
14	5	0	0.332438331	302.339802	133.745799	17.2049518	302.339802	116.540848	0	0	0	0	0	3
15	5	0	0.356183926	318.064437	146.033709	17.2049518	318.064437	128.828757	0	0	0	0	0	3
16	6	0	0.379929521	335.617376	157.882688	17.2049518	335.617376	140.677736	0	0	0	0	0	3
17	6	0	0.403675117	347.49702	169.036472	17.2049518	347.49702	151.83152	0	0	0	0	0	3
18	6	0	0.427420712	357.045194	179.481401	17.2049518	357.045194	162.276449	0	0	0	0	0	3
19	6	0	0.451166307	369.163955	189.464693	17.2049518	369.163955	172.259742	0	0	0	0	0	3
20	7	0	0.474911902	380.319533	199.007435	17.2049518	380.319533	181.802484	0	0	0	0	0	3
21	7	0	0.498657497	391.996666	208.197399	17.2049518	391.996666	190.992447	0	0	0	0	0	3
22	7	0	0.522403092	401.747983	216.995153	17.2049518	401.747983	199.790201	0	0	0	0	0	3
23	7	0	0.546148687	410.228617	234.859865	22.7643363	410.228617	214.875221	0	0	0	0	0	3
24	8	0	0.569894282	415.860051	252.727852	28.7590908	415.860051	229.818392	0	0	0	0	0	3
25	8	0	0.593639877	422.159035	270.609667	32.5676086	422.159035	245.28567	0	0	0	0	0	3
26	8	0	0.617385472	428.194491	288.592707	37.0410635	428.194491	260.925297	0	0	0	0	0	3
27	8	0	0.641131067	433.108947	306.595793	52.0210311	433.108947	274.869446	0	0	0	0	0	3
28	9	0	0.664876663	436.974964	324.093699	91.4669152	436.974964	283.832985	0	0	0	0	0	3
29	9	0	0.688622258	440.221407	339.946176	139.570906	440.221407	287.271688	0	0	0	0	0	3
30	9	0	0.712367853	442.806126	353.729595	172.547503	442.806126	270.258623	0	0	0	0	0	3
31	9	0	0.736113448	445.437451	366.133684	198.62605	445.437451	246.811401	0	0	0	0	0	3
32	10	0	0.759859043	448.696018	377.5005	233.081965	448.696018	215.614053	0	0	0	0	0	3
33	10	0	0.783604638	451.079753	387.409491	260.808722	451.079753	190.271031	0	0	0	0	0	3
34	10	0	0.807350233	452.690766	396.131402	283.641245	452.690766	169.049521	0	0	0	0	0	3
35	10	0	0.831095828	454.485596	403.897054	302.339802	454.485596	152.145794	0	0	0	0	0	3
36	10	0	0.854841423	456.052617	410.884	318.064437	456.052617	137.988181	0	0	0	0	0	3
37	11	0	0.878587018	457.742345	417.232996	335.617376	457.742345	122.124969	0	0	0	0	0	3
38	11	0	0.902332614	458.212403	422.805497	347.49702	458.212403	110.715383	0	0	0	0	0	3
39	11	0	0.926078209	459.597576	427.900977	357.045194	459.597576	102.552382	0	0	0	0	0	3
40	11	0	0.949823804	461.37582	432.643278	369.163955	461.37582	92.211865	0	0	0	0	0	3
41	12	0	0.973569399	461.338791	436.833043	380.319533	461.37582	81.0562862	0	0	0	0	0	3
42	12	0	0.997314994	461.875218	440.54012	391.996666	461.875218	69.8785516	0	0	0	0	0	3
43	12	0	1.02106059	459.841222	443.623963	401.747983	461.875218	60.1272347	22.8061628	0	0	0	0	3
