Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0237455951	4.09536589	4.09536589	4.09536589	4.09536589	0	0	0	0	0	0	3
2	2	0	0.0474911902	4.09295308	4.09415949	4.09295308	4.09536589	0.0012064044	0	0	0	0	0	3
3	2	0	0.0712367853	4.08669908	4.09167268	4.08669908	4.09536589	0.00369320874	0	0	0	0	0	3
4	3	0	0.0949823804	4.08120755	4.0890564	4.08120755	4.09536589	0.00630949267	0	0	0	0	0	3
5	3	0	0.118727975	4.07707786	4.08666069	4.07707786	4.09536589	0.00870520155	0	0	0	0	0	3
6	3	0	0.142473571	4.07155857	4.08414367	4.07155857	4.09536589	0.0112222217	0	0	0	0	0	3
7	3	0	0.166219166	4.05323843	4.07972864	4.05323843	4.09536589	0.0156372554	0	0	0	0	0	3
8	4	0	0.189964761	3.9944724	4.06907161	3.9944724	4.09536589	0.0262942845	0	0	0	0	0	3
9	4	0	0.213710356	3.91172483	4.05158863	3.91172483	4.09536589	0.0437772597	0	0	0	0	0	3
10	4	0	0.237455951	3.85597109	4.03202688	3.85597109	4.09536589	0.0633390142	0	0	0	0	0	3
11	4	0	0.261201546	3.82495368	4.01320204	3.82495368	4.09536589	0.0821638502	0	0	0	0	0	3
12	5	0	0.284947141	3.78387133	3.99409115	3.78387133	4.09536589	0.101274743	0	0	0	0	0	3
13	5	0	0.308692736	3.73464088	3.97413344	3.73464088	4.09536589	0.121232456	0	0	0	0	0	3
14	5	0	0.332438331	3.68153383	3.95323347	3.68153383	4.09536589	0.142132427	0	0	0	0	0	3
15	5	0	0.356183926	3.62797594	3.93154963	3.62797594	4.09536589	0.163816263	0	0	0	0	0	3
16	6	0	0.379929521	3.5762121	3.90934103	3.5762121	4.09536589	0.186024858	0	0	0	0	0	3
17	6	0	0.403675117	3.50835692	3.88575373	3.50835692	4.09536589	0.209612159	0	0	0	0	0	3
18	6	0	0.427420712	3.44637526	3.86134382	3.44637526	4.09536589	0.234022075	0	0	0	0	0	3
19	6	0	0.451166307	3.3892685	3.83649775	3.3892685	4.09536589	0.258868144	0	0	0	0	0	3
20	7	0	0.474911902	3.33661199	3.81150346	3.33661199	4.09536589	0.283862432	0	0	0	0	0	3
21	7	0	0.498657497	3.28848426	3.78659778	3.28848426	4.09536589	0.308768108	0	0	0	0	0	3
22	7	0	0.522403092	3.2341558	3.76148678	3.2341558	4.09536589	0.333879108	0	0	0	0	0	3
23	7	0	0.546148687	3.18661119	3.72017975	3.18661119	4.09295308	0.373979735	0	0	0	0	0	3
24	8	0	0.569894282	3.14450394	3.67706843	3.14450394	4.08669908	0.414604256	0	0	0	0	0	3
25	8	0	0.593639877	3.10566009	3.63247575	3.10566009	4.08120755	0.456580653	0	0	0	0	0	3
26	8	0	0.617385472	3.07015713	3.58651891	3.07015713	4.07707786	0.500141781	0	0	0	0	0	3
27	8	0	0.641131067	3.03225483	3.53902695	3.03225483	4.07155857	0.545116717	0	0	0	0	0	3
28	9	0	0.664876663	2.99987609	3.49031411	2.99987609	4.05323843	0.589414523	0	0	0	0	0	3
29	9	0	0.688622258	2.97123427	3.44113211	2.97123427	3.9944724	0.627939501	0	0	0	0	0	3
30	9	0	0.712367853	2.94530199	3.39344254	2.94530199	3.91172483	0.658146091	0	0	0	0	0	3
31	9	0	0.736113448	2.92244753	3.34847539	2.92244753	3.85597109	0.683551486	0	0	0	0	0	3
32	10	0	0.759859043	2.90043256	3.30504182	2.90043256	3.82495368	0.70816022	0	0	0	0	0	3
33	10	0	0.783604638	2.88163737	3.26216381	2.88163737	3.78387133	0.731927341	0	0	0	0	0	3
34	10	0	0.807350233	2.86444822	3.22037185	2.86444822	3.73464088	0.753761588	0	0	0	0	0	3
35	10	0	0.831095828	2.84807089	3.18007321	2.84807089	3.68153383	0.773160252	0	0	0	0	0	3
36	10	0	0.854841423	2.83261922	3.14148619	2.83261922	3.62797594	0.790063445	0	0	0	0	0	3
37	11	0	0.878587018	2.81840629	3.10468756	2.81840629	3.5762121	0.757805811	0	0	0	0	0	3
38	11	0	0.902332614	2.80583643	3.06967049	2.80583643	3.50835692	0.702520492	0	0	0	0	0	3
39	11	0	0.926078209	2.79120901	3.03707286	2.79120901	3.44637526	0.655166246	0	0	0	0	0	3
40	11	0	0.949823804	2.77968435	3.00676872	2.77968435	3.3892685	0.609584149	0	0	0	0	0	3
41	12	0	0.973569399	2.76766233	2.9785139	2.76766233	3.33661199	0.568949652	0	0	0	0	0	3
42	12	0	0.997314994	2.75752881	2.95219194	2.75752881	3.28848426	0.530955451	0	0	0	0	0	3
43	12	0	1.02106059	2.7509699	2.92775946	2.7509699	3.2341558	0.483185903	0.0703341557	0	0	0	0	3
