Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0237455951	344709.581	344709.581	344709.581	344709.581	0	0	0	0	0	0	3
2	2	0	0.0474911902	344645.976	344677.778	344645.976	344709.581	31.8025679	0	0	0	0	0	3
3	2	0	0.0712367853	344554.063	344636.54	344554.063	344709.581	73.0408623	0	0	0	0	0	3
4	3	0	0.0949823804	344450.782	344590.101	344450.782	344709.581	119.480369	0	0	0	0	0	3
5	3	0	0.118727975	344284.748	344529.03	344284.748	344709.581	180.550913	0	0	0	0	0	3
6	3	0	0.142473571	343767.93	344402.18	343767.93	344709.581	307.400881	0	0	0	0	0	3
7	3	0	0.166219166	341868.47	344040.221	341868.47	344709.581	669.359401	0	0	0	0	0	3
8	4	0	0.189964761	338149.815	343303.921	338149.815	344709.581	1405.66023	0	0	0	0	0	3
9	4	0	0.213710356	333884.514	342257.32	333884.514	344709.581	2452.26096	0	0	0	0	0	3
10	4	0	0.237455951	329407.704	340972.358	329407.704	344709.581	3737.22257	0	0	0	0	0	3
11	4	0	0.261201546	323389.912	339373.954	323389.912	344709.581	5335.62677	0	0	0	0	0	3
12	5	0	0.284947141	317601.722	337559.601	317601.722	344709.581	7149.97946	0	0	0	0	0	3
13	5	0	0.308692736	312152.921	335605.241	312152.921	344709.581	9104.33952	0	0	0	0	0	3
14	5	0	0.332438331	307062.928	333566.505	307062.928	344709.581	11143.0762	0	0	0	0	0	3
15	5	0	0.356183926	302335.167	331484.415	302335.167	344709.581	13225.1654	0	0	0	0	0	3
16	6	0	0.379929521	296311.403	329286.102	296311.403	344709.581	15423.4787	0	0	0	0	0	3
17	6	0	0.403675117	290599.162	327010.4	290599.162	344709.581	17699.181	0	0	0	0	0	3
18	6	0	0.427420712	285461.526	324702.129	285461.526	344709.581	20007.4518	0	0	0	0	0	3
19	6	0	0.451166307	280810.597	322392.048	280810.597	344709.581	22317.5325	0	0	0	0	0	3
20	7	0	0.474911902	276615.009	320103.196	276615.009	344709.581	24606.3844	0	0	0	0	0	3
21	7	0	0.498657497	271762.232	317801.246	271762.232	344709.581	26908.3351	0	0	0	0	0	3
22	7	0	0.522403092	267374.231	315509.109	267374.231	344709.581	29200.4722	0	0	0	0	0	3
23	7	0	0.546148687	263650.423	311824.602	263650.423	344645.976	32853.1768	0	0	0	0	0	3
24	8	0	0.569894282	260336.525	307992.354	260336.525	344554.063	36644.1862	0	0	0	0	0	3
25	8	0	0.593639877	257342.961	304028.213	257342.961	344450.782	40561.8878	0	0	0	0	0	3
26	8	0	0.617385472	253852.644	299910.116	253852.644	344284.748	44618.9144	0	0	0	0	0	3
27	8	0	0.641131067	250848.635	295663.02	250848.635	343767.93	48739.1605	0	0	0	0	0	3
28	9	0	0.664876663	248350.061	291325.844	248350.061	341868.47	52714.3779	0	0	0	0	0	3
29	9	0	0.688622258	246174.561	286976.12	246174.561	338149.815	56327.8002	0	0	0	0	0	3
30	9	0	0.712367853	244298.494	282710.151	244298.494	333884.514	59547.1686	0	0	0	0	0	3
31	9	0	0.736113448	242202.778	278542.8	242202.778	329407.704	62429.5586	0	0	0	0	0	3
32	10	0	0.759859043	240500.932	274501.583	240500.932	323389.912	64872.3713	0	0	0	0	0	3
33	10	0	0.783604638	239052.314	270668.056	239052.314	317601.722	66891.5458	0	0	0	0	0	3
34	10	0	0.807350233	237713.793	267036.786	237713.793	312152.921	68568.4553	0	0	0	0	0	3
35	10	0	0.831095828	236460.914	263596.24	236460.914	307062.928	69970.2643	0	0	0	0	0	3
36	10	0	0.854841423	235058.703	260323.321	235058.703	302335.167	67276.4638	0	0	0	0	0	3
37	11	0	0.878587018	233910.215	257213.096	233910.215	296311.403	62401.1884	0	0	0	0	0	3
38	11	0	0.902332614	232669.047	254320.262	232669.047	290599.162	57930.1153	0	0	0	0	0	3
39	11	0	0.926078209	231594.877	251638.249	231594.877	285461.526	53866.6492	0	0	0	0	0	3
40	11	0	0.949823804	230620.656	249145.482	230620.656	280810.597	50189.9412	0	0	0	0	0	3
41	12	0	0.973569399	229576.567	246816.662	229576.567	276615.009	47038.4419	0	0	0	0	0	3
42	12	0	0.997314994	228952.61	244650.19	228952.61	271762.232	42809.6224	0	0	0	0	0	3
43	12	0	1.02106059	228366.43	242677.653	228366.43	267374.231	39007.8006	6117.97601	0	15.6	0	0	3
