Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0237455951	101352.943	101352.943	101352.943	101352.943	0	0	0	0	0	0	3
2	2	0	0.0474911902	101352.943	101352.943	101352.943	101352.943	4.05998435e-09	0	0	0	0	0	3
3	2	0	0.0712367853	101352.943	101352.943	101352.943	101352.943	5.42786438e-09	0	0	0	0	0	3
4	3	0	0.0949823804	101352.943	101352.943	101352.943	101352.943	6.1118044e-09	0	0	0	0	0	3
5	3	0	0.118727975	101352.943	101352.943	101352.943	101352.943	6.51925802e-09	0	0	0	0	0	3
6	3	0	0.142473571	101352.943	101352.943	101352.943	101352.943	6.81029633e-09	0	0	0	0	0	3
7	3	0	0.166219166	101352.943	101352.943	101352.943	101352.943	6.99947122e-09	0	0	0	0	0	3
8	4	0	0.189964761	101352.943	101352.943	101352.943	101352.943	3.68600013e-08	0	0	0	0	0	3
9	4	0	0.213710356	101352.943	101352.943	101352.943	101352.943	2.86687282e-07	0	0	0	0	0	3
10	4	0	0.237455951	101352.943	101352.943	101352.943	101352.943	5.39977918e-07	0	0	0	0	0	3
11	4	0	0.261201546	101352.943	101352.943	101352.943	101352.943	1.29576074e-06	0	0	0	0	0	3
12	5	0	0.284947141	101352.943	101352.943	101352.943	101352.943	2.68535223e-06	0	0	0	0	0	3
13	5	0	0.308692736	101352.943	101352.943	101352.943	101352.943	4.2078027e-06	0	0	0	0	0	3
14	5	0	0.332438331	101352.943	101352.943	101352.943	101352.943	4.84216434e-06	0	0	0	0	0	3
15	5	0	0.356183926	101352.943	101352.943	101352.943	101352.943	8.29189958e-06	0	0	0	0	0	3
16	6	0	0.379929521	101352.939	101352.942	101352.939	101352.943	0.000242639682	0	0	0	0	0	3
17	6	0	0.403675117	101352.92	101352.941	101352.92	101352.943	0.00154564957	0	0	0	0	0	3
18	6	0	0.427420712	101352.87	101352.937	101352.87	101352.943	0.00549500738	0	0	0	0	0	3
19	6	0	0.451166307	101352.771	101352.928	101352.771	101352.943	0.014233241	0	0	0	0	0	3
20	7	0	0.474911902	101352.612	101352.913	101352.612	101352.943	0.0300680186	0	0	0	0	0	3
21	7	0	0.498657497	101352.276	101352.882	101352.276	101352.943	0.0603627964	0	0	0	0	0	3
22	7	0	0.522403092	101351.911	101352.838	101351.911	101352.943	0.104517292	0	0	0	0	0	3
23	7	0	0.546148687	101351.593	101352.777	101351.593	101352.943	0.165880225	0	0	0	0	0	3
24	8	0	0.569894282	101351.382	101352.706	101351.382	101352.943	0.236806619	0	0	0	0	0	3
25	8	0	0.593639877	101351.333	101352.633	101351.333	101352.943	0.309950124	0	0	0	0	0	3
26	8	0	0.617385472	101351.38	101352.562	101351.333	101352.943	0.380980036	0	0	0	0	0	3
27	8	0	0.641131067	101351.534	101352.498	101351.333	101352.943	0.444987096	0	0	0	0	0	3
28	9	0	0.664876663	101351.725	101352.442	101351.333	101352.943	0.500330369	0	0	0	0	0	3
29	9	0	0.688622258	101351.896	101352.395	101351.333	101352.943	0.547921373	0	0	0	0	0	3
30	9	0	0.712367853	101352.015	101352.353	101351.333	101352.943	0.590075671	0	0	0	0	0	3
31	9	0	0.736113448	101352.156	101352.317	101351.333	101352.943	0.625838093	0	0	0	0	0	3
32	10	0	0.759859043	101352.257	101352.286	101351.333	101352.943	0.656990442	0	0	0	0	0	3
33	10	0	0.783604638	101352.345	101352.258	101351.333	101352.943	0.684172328	0	0	0	0	0	3
34	10	0	0.807350233	101352.393	101352.233	101351.333	101352.943	0.709164036	0	0	0	0	0	3
35	10	0	0.831095828	101352.411	101352.209	101351.333	101352.943	0.733339308	0	0	0	0	0	3
36	10	0	0.854841423	101352.428	101352.186	101351.333	101352.943	0.756741749	0	0	0	0	0	3
37	11	0	0.878587018	101352.421	101352.162	101351.333	101352.939	0.780220473	0	0	0	0	0	3
38	11	0	0.902332614	101352.398	101352.138	101351.333	101352.92	0.803501123	0	0	0	0	0	3
39	11	0	0.926078209	101352.38	101352.113	101351.333	101352.87	0.824103396	0	0	0	0	0	3
40	11	0	0.949823804	101352.404	101352.092	101351.333	101352.771	0.836541446	0	0	0	0	0	3
41	12	0	0.973569399	101352.428	101352.076	101351.333	101352.612	0.836321652	0	0	0	0	0	3
42	12	0	0.997314994	101352.466	101352.07	101351.333	101352.466	0.812653884	0	0	0	0	0	3
43	12	0	1.02106059	101352.513	101352.08	101351.333	101352.513	0.768499388	0.0847317769	0	11	0	0	3
