Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0237455951	344737.897	344737.897	344737.897	344737.897	0	0	0	1000	0	0	3
2	2	0	0.0474911902	344737.929	344737.913	344737.897	344737.929	0.0160706949	0	0	0	0	0	3
3	2	0	0.0712367853	344738.198	344738.008	344737.897	344738.198	0.110952232	0	0	0	0	0	3
4	3	0	0.0949823804	344738.672	344738.174	344737.897	344738.672	0.277017027	0	0	0	0	0	3
5	3	0	0.118727975	344739.344	344738.408	344737.897	344739.344	0.510988936	0	0	0	0	0	3
6	3	0	0.142473571	344740.698	344738.79	344737.897	344740.698	0.892702752	0	0	0	0	0	3
7	3	0	0.166219166	344741.643	344739.197	344737.897	344741.643	1.30037493	0	0	0	0	0	3
8	4	0	0.189964761	344766.684	344742.633	344737.897	344766.684	4.7361694	0	0	0	0	0	3
9	4	0	0.213710356	344830.74	344752.423	344737.897	344830.74	14.5258802	0	0	0	0	0	3
10	4	0	0.237455951	344748.002	344751.981	344737.897	344830.74	14.5258802	0	0	0	0	0	3
11	4	0	0.261201546	344754.637	344752.222	344737.897	344830.74	14.5258802	0	0	0	0	0	3
12	5	0	0.284947141	344763.495	344753.162	344737.897	344830.74	15.2647266	0	0	0	0	0	3
13	5	0	0.308692736	344774.622	344754.812	344737.897	344830.74	16.9155332	0	0	0	0	0	3
14	5	0	0.332438331	344787.697	344757.161	344737.897	344830.74	19.2644676	0	0	0	0	0	3
15	5	0	0.356183926	344800.966	344760.082	344737.897	344830.74	22.1848102	0	0	0	0	0	3
16	6	0	0.379929521	344737.9	344758.695	344737.897	344830.74	22.1848102	0	0	0	0	0	3
17	6	0	0.403675117	344737.9	344757.472	344737.897	344830.74	22.1848102	0	0	0	0	0	3
18	6	0	0.427420712	344737.9	344756.385	344737.897	344830.74	22.1848102	0	0	0	0	0	3
19	6	0	0.451166307	344737.9	344755.412	344737.897	344830.74	22.1848102	0	0	0	0	0	3
20	7	0	0.474911902	344737.9	344754.536	344737.897	344830.74	22.1848102	0	0	0	0	0	3
21	7	0	0.498657497	344737.9	344753.744	344737.897	344830.74	22.1848102	0	0	0	0	0	3
22	7	0	0.522403092	344737.9	344753.024	344737.897	344830.74	22.1848102	0	0	0	0	0	3
23	7	0	0.546148687	344737.9	344753.024	344737.9	344830.74	22.1687395	0	0	0	0	0	3
24	8	0	0.569894282	344737.9	344753.023	344737.9	344830.74	22.073858	0	0	0	0	0	3
25	8	0	0.593639877	344737.9	344753.009	344737.9	344830.74	21.9077932	0	0	0	0	0	3
26	8	0	0.617385472	344737.9	344752.974	344737.9	344830.74	21.6738213	0	0	0	0	0	3
27	8	0	0.641131067	344737.9	344752.908	344737.9	344830.74	21.2921075	0	0	0	0	0	3
28	9	0	0.664876663	344737.9	344752.781	344737.9	344830.74	20.8844353	0	0	0	0	0	3
29	9	0	0.688622258	344737.9	344752.611	344737.9	344830.74	17.4486408	0	0	0	0	0	3
30	9	0	0.712367853	344737.9	344751.303	344737.9	344830.74	8.77890936	0	0	0	0	0	3
31	9	0	0.736113448	344737.9	344747.083	344737.9	344800.966	12.998929	0	0	0	0	0	3
32	10	0	0.759859043	344737.9	344746.624	344737.9	344800.966	13.4581189	0	0	0	0	0	3
33	10	0	0.783604638	344737.9	344745.863	344737.9	344800.966	14.2188969	0	0	0	0	0	3
34	10	0	0.807350233	344737.9	344744.699	344737.9	344800.966	15.3823105	0	0	0	0	0	3
35	10	0	0.831095828	344737.9	344743.03	344737.9	344800.966	17.0514958	0	0	0	0	0	3
36	10	0	0.854841423	344737.9	344740.767	344737.9	344800.966	19.3150177	0	0	0	0	0	3
37	11	0	0.878587018	344737.9	344737.9	344737.9	344737.9	2.32830644e-10	0	0	0	0	0	3
38	11	0	0.902332614	344737.9	344737.9	344737.9	344737.9	2.32830644e-10	0	0	0	0	0	3
39	11	0	0.926078209	344737.9	344737.9	344737.9	344737.9	2.32830644e-10	0	0	0	0	0	3
40	11	0	0.949823804	344737.9	344737.9	344737.9	344737.9	2.32830644e-10	0	0	0	0	0	3
41	12	0	0.973569399	344737.9	344737.9	344737.9	344737.9	2.32830644e-10	0	0	0	0	0	3
42	12	0	0.997314994	344737.9	344737.9	344737.9	344737.9	2.32830644e-10	0	0	0	0	0	3
43	12	0	1.02106059	344737.9	344737.9	344737.9	344737.9	2.32830644e-10	4.88860581	0	100	0	0	3
