Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0237455951	101352.943	101352.943	101352.943	101352.943	0	0	0	1000	0	0	3
2	2	0	0.0474911902	101352.943	101352.943	101352.943	101352.943	8.44238675e-05	0	0	0	0	0	3
3	2	0	0.0712367853	101352.943	101352.943	101352.943	101352.943	0.000181859767	0	0	0	0	0	3
4	3	0	0.0949823804	101352.943	101352.943	101352.943	101352.943	0.000302193832	0	0	0	0	0	3
5	3	0	0.118727975	101352.944	101352.943	101352.943	101352.944	0.000460144918	0	0	0	0	0	3
6	3	0	0.142473571	101352.945	101352.943	101352.943	101352.945	0.000800144146	0	0	0	0	0	3
7	3	0	0.166219166	101352.95	101352.944	101352.943	101352.95	0.00179191428	0	0	0	0	0	3
8	4	0	0.189964761	101352.963	101352.947	101352.943	101352.963	0.0041104345	0	0	0	0	0	3
9	4	0	0.213710356	101352.979	101352.95	101352.943	101352.979	0.00771164626	0	0	0	0	0	3
10	4	0	0.237455951	101352.998	101352.955	101352.943	101352.998	0.0125109236	0	0	0	0	0	3
11	4	0	0.261201546	101353.039	101352.963	101352.943	101353.039	0.020116763	0	0	0	0	0	3
12	5	0	0.284947141	101353.12	101352.976	101352.943	101353.12	0.0332303143	0	0	0	0	0	3
13	5	0	0.308692736	101353.283	101353	101352.943	101353.283	0.0568909459	0	0	0	0	0	3
14	5	0	0.332438331	101353.619	101353.044	101352.943	101353.619	0.101150381	0	0	0	0	0	3
15	5	0	0.356183926	101354.296	101353.127	101352.943	101354.296	0.184639259	0	0	0	0	0	3
16	6	0	0.379929521	101356.549	101353.341	101352.943	101356.549	0.39850891	0	0	0	0	0	3
17	6	0	0.403675117	101361.509	101353.822	101352.943	101361.509	0.878955061	0	0	0	0	0	3
18	6	0	0.427420712	101371.051	101354.779	101352.943	101371.051	1.83614025	0	0	0	0	0	3
19	6	0	0.451166307	101390.09	101356.637	101352.943	101390.09	3.69464826	0	0	0	0	0	3
20	7	0	0.474911902	101425.225	101360.067	101352.943	101425.225	7.12403438	0	0	0	0	0	3
21	7	0	0.498657497	101513.66	101367.381	101352.943	101513.66	14.437995	0	0	0	0	0	3
22	7	0	0.522403092	101662.817	101380.81	101352.943	101662.817	27.8669386	0	0	0	0	0	3
23	7	0	0.546148687	101862.557	101403.974	101352.943	101862.557	51.0311415	0	0	0	0	0	3
24	8	0	0.569894282	102091.087	101437.526	101352.943	102091.087	84.5830614	0	0	0	0	0	3
25	8	0	0.593639877	102312.769	101481.154	101352.943	102312.769	128.211384	0	0	0	0	0	3
26	8	0	0.617385472	102551.945	101535.654	101352.944	102551.945	182.711321	0	0	0	0	0	3
27	8	0	0.641131067	102766.983	101599.929	101352.945	102766.983	246.98551	0	0	0	0	0	3
28	9	0	0.664876663	102932.663	101671.734	101352.95	102932.663	318.789875	0	0	0	0	0	3
29	9	0	0.688622258	103098.671	101751.085	101352.963	103098.671	398.138486	0	0	0	0	0	3
30	9	0	0.712367853	103277.12	101838.547	101352.979	103277.12	485.596571	0	0	0	0	0	3
31	9	0	0.736113448	103466.116	101934.599	101352.998	103466.116	581.643441	0	0	0	0	0	3
32	10	0	0.759859043	103643.127	102038.695	101353.039	103643.127	685.732583	0	0	0	0	0	3
33	10	0	0.783604638	103747.873	102147.551	101353.12	103747.873	794.575572	0	0	0	0	0	3
34	10	0	0.807350233	103823.743	102259.852	101353.283	103823.743	906.85294	0	0	0	0	0	3
35	10	0	0.831095828	103819.605	102371.958	101353.619	103823.743	1018.91421	0	0	0	0	0	3
36	10	0	0.854841423	103776.292	102482.079	101354.296	103823.743	1128.95221	0	0	0	0	0	3
37	11	0	0.878587018	103706.765	102589.01	101356.549	103823.743	1235.66873	0	0	0	0	0	3
38	11	0	0.902332614	103622.013	102691.986	101361.509	103823.743	1338.16394	0	0	0	0	0	3
39	11	0	0.926078209	103590.723	102793.313	101371.051	103823.743	1438.53467	0	0	0	0	0	3
40	11	0	0.949823804	103603.714	102894.798	101390.09	103823.743	1538.16084	0	0	0	0	0	3
41	12	0	0.973569399	103591.229	102994.85	101425.225	103823.743	1634.78322	0	0	0	0	0	3
42	12	0	0.997314994	103578.655	103092.733	101513.66	103823.743	1725.35244	0	0	0	0	0	3
43	12	0	1.02106059	103598.915	103187.517	101662.817	103823.743	1806.7078	130.10243	0	7.2	0	0	3
