Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0237455951	3.54838704	3.54838704	3.54838704	3.54838704	0	0	0	0	0	0	3
2	2	0	0.0474911902	6.56804481	5.05821592	3.54838704	6.56804481	1.50982888	0	0	0	0	0	3
3	2	0	0.0712367853	9.68807207	6.6015013	3.54838704	9.68807207	3.05311426	0	0	0	0	0	3
4	3	0	0.0949823804	12.0982191	7.97568076	3.54838704	12.0982191	4.42729372	0	0	0	0	0	3
5	3	0	0.118727975	15.1508832	9.41072125	3.54838704	15.1508832	5.86233421	0	0	0	0	0	3
6	3	0	0.142473571	22.1687219	11.5370547	3.54838704	22.1687219	7.98866765	0	0	0	0	0	3
7	3	0	0.166219166	38.1051759	15.3325006	3.54838704	38.1051759	11.7841135	0	0	0	0	0	3
8	4	0	0.189964761	57.9581095	20.6607017	3.54838704	57.9581095	17.1123147	0	0	0	0	0	3
9	4	0	0.213710356	74.7104552	26.6662299	3.54838704	74.7104552	23.1178428	0	0	0	0	0	3
10	4	0	0.237455951	88.6763016	32.867237	3.54838704	88.6763016	29.31885	0	0	0	0	0	3
11	4	0	0.261201546	105.118985	39.4355778	3.54838704	105.118985	35.8871907	0	0	0	0	0	3
12	5	0	0.284947141	119.033479	46.0687362	3.54838704	119.033479	42.5203492	0	0	0	0	0	3
13	5	0	0.308692736	131.008416	52.6025577	3.54838704	131.008416	49.0541707	0	0	0	0	0	3
14	5	0	0.332438331	141.445728	58.9484985	3.54838704	141.445728	55.4001114	0	0	0	0	0	3
15	5	0	0.356183926	150.653634	65.0621742	3.54838704	150.653634	61.5137871	0	0	0	0	0	3
16	6	0	0.379929521	161.723334	71.1034967	3.54838704	161.723334	67.5551096	0	0	0	0	0	3
17	6	0	0.403675117	171.907243	77.0331288	3.54838704	171.907243	73.4847418	0	0	0	0	0	3
18	6	0	0.427420712	180.792789	82.7975544	3.54838704	180.792789	79.2491673	0	0	0	0	0	3
19	6	0	0.451166307	188.656237	88.369064	3.54838704	188.656237	84.8206769	0	0	0	0	0	3
20	7	0	0.474911902	195.627859	93.7320037	3.54838704	195.627859	90.1836167	0	0	0	0	0	3
21	7	0	0.498657497	203.571499	98.9624559	3.54838704	203.571499	95.4140688	0	0	0	0	0	3
22	7	0	0.522403092	210.653786	104.039335	3.54838704	210.653786	100.490947	0	0	0	0	0	3
23	7	0	0.546148687	216.601493	113.723567	6.56804481	216.601493	108.665351	0	0	0	0	0	3
24	8	0	0.569894282	221.851626	123.509184	9.68807207	221.851626	116.907683	0	0	0	0	0	3
25	8	0	0.593639877	226.562276	133.367102	12.0982191	226.562276	125.391422	0	0	0	0	0	3
26	8	0	0.617385472	232.021062	143.363595	15.1508832	232.021062	133.952874	0	0	0	0	0	3
27	8	0	0.641131067	236.693875	153.433731	22.1687219	236.693875	141.896676	0	0	0	0	0	3
28	9	0	0.664876663	240.564989	163.360834	38.1051759	240.564989	148.028334	0	0	0	0	0	3
29	9	0	0.688622258	243.925654	172.716311	57.9581095	243.925654	152.055609	0	0	0	0	0	3
30	9	0	0.712367853	246.817263	181.300817	74.7104552	246.817263	154.634588	0	0	0	0	0	3
31	9	0	0.736113448	250.04126	189.2704	88.6763016	250.04126	156.403163	0	0	0	0	0	3
32	10	0	0.759859043	252.655111	196.723982	105.118985	252.655111	147.536126	0	0	0	0	0	3
33	10	0	0.783604638	254.877442	203.531184	119.033479	254.877442	135.843962	0	0	0	0	0	3
34	10	0	0.807350233	256.929027	209.799164	131.008416	256.929027	125.920611	0	0	0	0	0	3
35	10	0	0.831095828	258.84794	215.610051	141.445728	258.84794	117.402212	0	0	0	0	0	3
36	10	0	0.854841423	260.994237	221.044074	150.653634	260.994237	110.340603	0	0	0	0	0	3
37	11	0	0.878587018	262.751217	226.139419	161.723334	262.751217	101.027883	0	0	0	0	0	3
38	11	0	0.902332614	264.649646	230.817888	171.907243	264.649646	92.7424034	0	0	0	0	0	3
39	11	0	0.926078209	266.291519	235.108082	180.792789	266.291519	85.4987301	0	0	0	0	0	3
40	11	0	0.949823804	267.780451	239.062067	188.656237	267.780451	79.1242136	0	0	0	0	0	3
41	12	0	0.973569399	269.376266	242.731159	195.627859	269.376266	73.7484071	0	0	0	0	0	3
42	12	0	0.997314994	270.329649	246.126695	203.571499	270.329649	66.7581501	0	0	0	0	0	3
43	12	0	1.02106059	271.225526	249.201878	210.653786	271.225526	60.5717403	13.7715162	0	0	0	0	3
