Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0237455951	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0474911902	0	0	0	0	0	0	0	0	0	0	3
3	2	0	0.0712367853	0	0	0	0	0	0	0	0	0	0	3
4	3	0	0.0949823804	0	0	0	0	0	0	0	0	0	0	3
5	3	0	0.118727975	0	0	0	0	0	0	0	0	0	0	3
6	3	0	0.142473571	0	0	0	0	0	0	0	0	0	0	3
7	3	0	0.166219166	0	0	0	0	0	0	0	0	0	0	3
8	4	0	0.189964761	0	0	0	0	0	0	0	0	0	0	3
9	4	0	0.213710356	0	0	0	0	0	0	0	0	0	0	3
10	4	0	0.237455951	0	0	0	0	0	0	0	0	0	0	3
11	4	0	0.261201546	0	0	0	0	0	0	0	0	0	0	3
12	5	0	0.284947141	0	0	0	0	0	0	0	0	0	0	3
13	5	0	0.308692736	0	0	0	0	0	0	0	0	0	0	3
14	5	0	0.332438331	0	0	0	0	0	0	0	0	0	0	3
15	5	0	0.356183926	0	0	0	0	0	0	0	0	0	0	3
16	6	0	0.379929521	0	0	0	0	0	0	0	0	0	0	3
17	6	0	0.403675117	0	0	0	0	0	0	0	0	0	0	3
18	6	0	0.427420712	0	0	0	0	0	0	0	0	0	0	3
19	6	0	0.451166307	0	0	0	0	0	0	0	0	0	0	3
20	7	0	0.474911902	0	0	0	0	0	0	0	0	0	0	3
21	7	0	0.498657497	0	0	0	0	0	0	0	0	0	0	3
22	7	0	0.522403092	0	0	0	0	0	0	0	0	0	0	3
23	7	0	0.546148687	0	0	0	0	0	0	0	0	0	0	3
24	8	0	0.569894282	0	0	0	0	0	0	0	0	0	0	3
25	8	0	0.593639877	0	0	0	0	0	0	0	0	0	0	3
26	8	0	0.617385472	0	0	0	0	0	0	0	0	0	0	3
27	8	0	0.641131067	0	0	0	0	0	0	0	0	0	0	3
28	9	0	0.664876663	0	0	0	0	0	0	0	0	0	0	3
29	9	0	0.688622258	0	0	0	0	0	0	0	0	0	0	3
30	9	0	0.712367853	0	0	0	0	0	0	0	0	0	0	3
31	9	0	0.736113448	0	0	0	0	0	0	0	0	0	0	3
32	10	0	0.759859043	0	0	0	0	0	0	0	0	0	0	3
33	10	0	0.783604638	0	0	0	0	0	0	0	0	0	0	3
34	10	0	0.807350233	0	0	0	0	0	0	0	0	0	0	3
35	10	0	0.831095828	0	0	0	0	0	0	0	0	0	0	3
36	10	0	0.854841423	0	0	0	0	0	0	0	0	0	0	3
37	11	0	0.878587018	0	0	0	0	0	0	0	0	0	0	3
38	11	0	0.902332614	0	0	0	0	0	0	0	0	0	0	3
39	11	0	0.926078209	0	0	0	0	0	0	0	0	0	0	3
40	11	0	0.949823804	0	0	0	0	0	0	0	0	0	0	3
41	12	0	0.973569399	0	0	0	0	0	0	0	0	0	0	3
42	12	0	0.997314994	0	0	0	0	0	0	0	0	0	0	3
43	12	0	1.02106059	0	0	0	0	0	5e-06	0	0	0	0	3
