Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0237455951	-1.0077789e-44	-1.0077789e-44	-1.0077789e-44	-1.0077789e-44	0	0	0	0	0	0	3
2	2	0	0.0474911902	1.26425112e-08	6.32125558e-09	-1.0077789e-44	1.26425112e-08	6.32125558e-09	0	0	0	0	0	3
3	2	0	0.0712367853	9.00214551e-08	3.42213221e-08	-1.0077789e-44	9.00214551e-08	3.42213221e-08	0	0	0	0	0	3
4	3	0	0.0949823804	8.73342899e-08	4.7499564e-08	-1.0077789e-44	9.00214551e-08	4.7499564e-08	0	0	0	0	0	3
5	3	0	0.118727975	4.83161453e-08	4.76628803e-08	-1.0077789e-44	9.00214551e-08	4.76628803e-08	0	0	0	0	0	3
6	3	0	0.142473571	7.5453541e-09	4.09766259e-08	-1.0077789e-44	9.00214551e-08	4.76628803e-08	0	0	0	0	0	3
7	3	0	0.166219166	4.97387873e-10	3.51938776e-08	-1.0077789e-44	9.00214551e-08	4.76628803e-08	0	0	0	0	0	3
8	4	0	0.189964761	1.68109156e-10	3.08156566e-08	-1.0077789e-44	9.00214551e-08	4.76628803e-08	0	0	0	0	0	3
9	4	0	0.213710356	-1.68407974e-09	2.72045748e-08	-1.68407974e-09	9.00214551e-08	4.76628803e-08	0	0	0	0	0	3
10	4	0	0.237455951	1.33160786e-08	2.58157251e-08	-1.68407974e-09	9.00214551e-08	4.76628803e-08	0	0	0	0	0	3
11	4	0	0.261201546	6.08211677e-08	2.89980381e-08	-1.68407974e-09	9.00214551e-08	4.76628803e-08	0	0	0	0	0	3
12	5	0	0.284947141	-6.41234685e-08	2.12379126e-08	-6.41234685e-08	9.00214551e-08	4.76628803e-08	0	0	0	0	0	3
13	5	0	0.308692736	-5.25415484e-07	-2.08123487e-08	-5.25415484e-07	9.00214551e-08	6.8475229e-08	0	0	0	0	0	3
14	5	0	0.332438331	-1.94242379e-06	-1.58070309e-07	-1.94242379e-06	9.00214551e-08	2.05733189e-07	0	0	0	0	0	3
15	5	0	0.356183926	-3.92344855e-06	-4.09095525e-07	-3.92344855e-06	9.00214551e-08	4.56758405e-07	0	0	0	0	0	3
