Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0237455951	101426.859	101426.859	101426.859	101426.859	0	0	0	0	0	0	3
2	2	0	0.0474911902	101455.632	101441.246	101426.859	101455.632	14.3863938	0	0	0	0	0	3
3	2	0	0.0712367853	101479.375	101453.956	101426.859	101479.375	27.0963372	0	0	0	0	0	3
4	3	0	0.0949823804	101491.285	101463.288	101426.859	101491.285	36.4286878	0	0	0	0	0	3
5	3	0	0.118727975	101502.508	101471.132	101426.859	101502.508	44.272611	0	0	0	0	0	3
6	3	0	0.142473571	101500.3	101475.993	101426.859	101502.508	49.1338976	0	0	0	0	0	3
7	3	0	0.166219166	101478.496	101476.351	101426.859	101502.508	49.491435	0	0	0	0	0	3
8	4	0	0.189964761	101459.359	101474.227	101426.859	101502.508	49.491435	0	0	0	0	0	3
9	4	0	0.213710356	101463.09	101472.989	101426.859	101502.508	49.491435	0	0	0	0	0	3
10	4	0	0.237455951	101468.362	101472.526	101426.859	101502.508	49.491435	0	0	0	0	0	3
11	4	0	0.261201546	101471.627	101472.445	101426.859	101502.508	49.491435	0	0	0	0	0	3
12	5	0	0.284947141	101469.08	101472.164	101426.859	101502.508	49.491435	0	0	0	0	0	3
13	5	0	0.308692736	101467.458	101471.802	101426.859	101502.508	49.491435	0	0	0	0	0	3
14	5	0	0.332438331	101460.943	101471.027	101426.859	101502.508	49.491435	0	0	0	0	0	3
15	5	0	0.356183926	101456.935	101470.087	101426.859	101502.508	49.491435	0	0	0	0	0	3
16	6	0	0.379929521	101444.995	101468.519	101426.859	101502.508	49.491435	0	0	0	0	0	3
17	6	0	0.403675117	101432.639	101466.408	101426.859	101502.508	49.491435	0	0	0	0	0	3
18	6	0	0.427420712	101421.33	101463.904	101421.33	101502.508	49.491435	0	0	0	0	0	3
19	6	0	0.451166307	101412.092	101461.177	101412.092	101502.508	49.491435	0	0	0	0	0	3
20	7	0	0.474911902	101402.781	101458.257	101402.781	101502.508	49.491435	0	0	0	0	0	3
21	7	0	0.498657497	101396.102	101455.297	101396.102	101502.508	49.491435	0	0	0	0	0	3
22	7	0	0.522403092	101396.671	101452.633	101396.102	101502.508	49.491435	0	0	0	0	0	3
23	7	0	0.546148687	101405.486	101451.661	101396.102	101502.508	35.1050413	0	0	0	0	0	3
24	8	0	0.569894282	101416.849	101449.898	101396.102	101502.508	26.4524835	0	0	0	0	0	3
25	8	0	0.593639877	101430.95	101447.697	101396.102	101502.508	28.6536572	0	0	0	0	0	3
26	8	0	0.617385472	101438.489	101445.297	101396.102	101502.508	31.0534946	0	0	0	0	0	3
27	8	0	0.641131067	101441.688	101442.533	101396.102	101500.3	33.8180213	0	0	0	0	0	3
28	9	0	0.664876663	101441.336	101439.852	101396.102	101478.496	36.4981697	0	0	0	0	0	3
29	9	0	0.688622258	101437.482	101437.988	101396.102	101471.627	36.2384498	0	0	0	0	0	3
30	9	0	0.712367853	101436.028	101436.928	101396.102	101471.627	36.0615107	0	0	0	0	0	3
31	9	0	0.736113448	101433.2	101435.569	101396.102	101471.627	36.9573664	0	0	0	0	0	3
32	10	0	0.759859043	101430.945	101433.868	101396.102	101471.627	38.5763376	0	0	0	0	0	3
33	10	0	0.783604638	101428.509	101431.908	101396.102	101469.08	40.2558285	0	0	0	0	0	3
34	10	0	0.807350233	101424.965	101429.903	101396.102	101467.458	41.8990355	0	0	0	0	0	3
35	10	0	0.831095828	101421.642	101427.821	101396.102	101460.943	43.2059328	0	0	0	0	0	3
36	10	0	0.854841423	101420.375	101425.977	101396.102	101456.935	44.1104489	0	0	0	0	0	3
37	11	0	0.878587018	101418.83	101424.245	101396.102	101444.995	44.2742196	0	0	0	0	0	3
38	11	0	0.902332614	101417.572	101422.998	101396.102	101441.688	43.4101391	0	0	0	0	0	3
39	11	0	0.926078209	101417.623	101422.316	101396.102	101441.688	41.5883175	0	0	0	0	0	3
40	11	0	0.949823804	101418.443	101422.184	101396.102	101441.688	38.9925708	0	0	0	0	0	3
41	12	0	0.973569399	101417.417	101422.426	101396.102	101441.688	36.072782	0	0	0	0	0	3
42	12	0	0.997314994	101415.858	101423.021	101396.102	101441.688	33.1130082	0	0	0	0	0	3
43	12	0	1.02106059	101415.43	101423.899	101396.671	101441.688	30.4481611	5.60289372	0	0	0	0	3
