Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0237455951	293.200488	293.200488	293.200488	293.200488	0	0	0	0	0	0	3
2	2	0	0.0474911902	293.200743	293.200615	293.200488	293.200743	0.000127909129	0	0	0	0	0	3
3	2	0	0.0712367853	293.200962	293.200731	293.200488	293.200962	0.000243532738	0	0	0	0	0	3
4	3	0	0.0949823804	293.201154	293.200837	293.200488	293.201154	0.000349295604	0	0	0	0	0	3
5	3	0	0.118727975	293.201329	293.200935	293.200488	293.201329	0.000447780228	0	0	0	0	0	3
6	3	0	0.142473571	293.201431	293.201018	293.200488	293.201431	0.000530422563	0	0	0	0	0	3
7	3	0	0.166219166	293.200537	293.200949	293.200488	293.201431	0.000530422563	0	0	0	0	0	3
8	4	0	0.189964761	293.197964	293.200576	293.197964	293.201431	0.000530422563	0	0	0	0	0	3
9	4	0	0.213710356	293.195311	293.199991	293.195311	293.201431	0.0010268577	0	0	0	0	0	3
10	4	0	0.237455951	293.192617	293.199254	293.192617	293.201431	0.00176429504	0	0	0	0	0	3
11	4	0	0.261201546	293.187576	293.198192	293.187576	293.201431	0.00282593678	0	0	0	0	0	3
12	5	0	0.284947141	293.182198	293.196859	293.182198	293.201431	0.00415878437	0	0	0	0	0	3
13	5	0	0.308692736	293.176349	293.195281	293.176349	293.201431	0.00573647468	0	0	0	0	0	3
14	5	0	0.332438331	293.17002	293.193477	293.17002	293.201431	0.0075408796	0	0	0	0	0	3
15	5	0	0.356183926	293.163231	293.191461	293.163231	293.201431	0.00955731431	0	0	0	0	0	3
16	6	0	0.379929521	293.152534	293.189028	293.152534	293.201431	0.0119902226	0	0	0	0	0	3
17	6	0	0.403675117	293.141352	293.186223	293.141352	293.201431	0.0147946587	0	0	0	0	0	3
18	6	0	0.427420712	293.129524	293.183073	293.129524	293.201431	0.0179446019	0	0	0	0	0	3
19	6	0	0.451166307	293.11788	293.179642	293.11788	293.201431	0.0213758176	0	0	0	0	0	3
20	7	0	0.474911902	293.107504	293.176035	293.107504	293.201431	0.0249827181	0	0	0	0	0	3
21	7	0	0.498657497	293.09455	293.172155	293.09455	293.201431	0.0288629712	0	0	0	0	0	3
22	7	0	0.522403092	293.084753	293.168182	293.084753	293.201431	0.0328357936	0	0	0	0	0	3
23	7	0	0.546148687	293.079329	293.162675	293.079329	293.201431	0.0383429908	0	0	0	0	0	3
24	8	0	0.569894282	293.077699	293.157082	293.077699	293.201431	0.0439359084	0	0	0	0	0	3
25	8	0	0.593639877	293.079187	293.151547	293.077699	293.201431	0.0494711676	0	0	0	0	0	3
26	8	0	0.617385472	293.085928	293.146309	293.077699	293.201431	0.0547086979	0	0	0	0	0	3
27	8	0	0.641131067	293.096467	293.141543	293.077699	293.201431	0.0594751632	0	0	0	0	0	3
28	9	0	0.664876663	293.108856	293.137335	293.077699	293.200537	0.0636144205	0	0	0	0	0	3
29	9	0	0.688622258	293.122499	293.133788	293.077699	293.197964	0.0667884485	0	0	0	0	0	3
30	9	0	0.712367853	293.136713	293.131003	293.077699	293.195311	0.0689875785	0	0	0	0	0	3
31	9	0	0.736113448	293.161786	293.12948	293.077699	293.192617	0.0697739913	0	0	0	0	0	3
32	10	0	0.759859043	293.189176	293.129323	293.077699	293.189176	0.0688687245	0	0	0	0	0	3
33	10	0	0.783604638	293.217793	293.130697	293.077699	293.217793	0.0675358769	0	0	0	0	0	3
34	10	0	0.807350233	293.244565	293.133532	293.077699	293.244565	0.0659581866	0	0	0	0	0	3
35	10	0	0.831095828	293.269542	293.137768	293.077699	293.269542	0.0641537816	0	0	0	0	0	3
36	10	0	0.854841423	293.304988	293.143903	293.077699	293.304988	0.0621373469	0	0	0	0	0	3
37	11	0	0.878587018	293.336957	293.151799	293.077699	293.336957	0.0597044386	0	0	0	0	0	3
38	11	0	0.902332614	293.362008	293.161321	293.077699	293.362008	0.0569000025	0	0	0	0	0	3
39	11	0	0.926078209	293.385565	293.172421	293.077699	293.385565	0.0537500593	0	0	0	0	0	3
40	11	0	0.949823804	293.408442	293.185099	293.077699	293.408442	0.055776176	0	0	0	0	0	3
41	12	0	0.973569399	293.441231	293.199797	293.077699	293.441231	0.070473958	0	0	0	0	0	3
42	12	0	0.997314994	293.467455	293.216159	293.077699	293.467455	0.0868353584	0	0	0	0	0	3
43	12	0	1.02106059	293.49363	293.234299	293.077699	293.49363	0.104975378	0.0219012731	0	0	0	0	3
