Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0237455951
2	2	0	0.0474911902
3	2	0	0.0712367853
4	3	0	0.0949823804
5	3	0	0.118727975
6	3	0	0.142473571
7	3	0	0.166219166
8	4	0	0.189964761
9	4	0	0.213710356
10	4	0	0.237455951
11	4	0	0.261201546
12	5	0	0.284947141
13	5	0	0.308692736
14	5	0	0.332438331
15	5	0	0.356183926
16	6	0	0.379929521
17	6	0	0.403675117
18	6	0	0.427420712
19	6	0	0.451166307
20	7	0	0.474911902
21	7	0	0.498657497
22	7	0	0.522403092
23	7	0	0.546148687
24	8	0	0.569894282
25	8	0	0.593639877
26	8	0	0.617385472
27	8	0	0.641131067
28	9	0	0.664876663
29	9	0	0.688622258
30	9	0	0.712367853
31	9	0	0.736113448
32	10	0	0.759859043
33	10	0	0.783604638
34	10	0	0.807350233
35	10	0	0.831095828
36	10	0	0.854841423
37	11	0	0.878587018
38	11	0	0.902332614
39	11	0	0.926078209
40	11	0	0.949823804
41	12	0	0.973569399
42	12	0	0.997314994
43	12	0	1.02106059
